Sam,Mon Gossip
Donald,Elon a encore oublié de fermer la porte du bureau.
Mickey,Hugo a mangé tous les biscuits de la salle de pause.
John,Amandine a été vue en train de parler avec le Sarko en secret.
Elon,Donald a encore fait une blague qui n'a fait rire personne.
Booba,Kaaris a apporté des croissants ce matin mais personne ne l'a remerciée.
Kaaris,Booba a passé toute la matinée à jouer à des jeux vidéo au lieu de travailler.
Amandinedu38,Sam a été vue en train de pleurer dans les toilettes.
Hugo,John a oublié son badge pour la troisième fois cette semaine.
Bernard,Suzie a apporté son chien au bureau aujourd'hui.
Suzie,Elon a été vu en train de faire des photocopies de son visage.
